Publisher,Board,Number,Year,Rating,
Blue Orange,Kingdomino Duel,840,2019,7.10,
CMON,Zombicide: Black Plague,1498,2015,7.71,
CMON,The Godfather,1500,2017,7.59,
Kosmos,5-Minute Dungeon,1566,2018,7.13,
Blue Orange,Blue Lagoon,1951,2018,7.24,
AEG,Mystic Vale,2368,2016,7.30,
Hans im Gluck,Citadels,2546,2000,7.09,
Blue Orange,Planet,2575,2018,6.80,
Stonemaier Games,Charterstone,2812,2017,7.51,
Kosmos,Targi,2876,2012,7.62,
Hans im Gluck,Hadara,2965,2019,7.52,
Kosmos,Imhotep,3005,2016,7.22,
CMON,Rising Son,3324,2018,7.93,
Lookout Games,Caverna,3390,2013,8.04,
AEG,Point Salad,3468,2019,7.35,
Lookout Games,Agricola,3906,2007,7.97,
Hans im Gluck,Marco Polo,4016,2015,7.92,
Blue Orange,Photosynthesis,4049,2017,7.19,
Kosmos,Lost Cities,4254,1999,7.17,
Lookout Games,Isle of Skye,4504,2015,7.45,
Lookout Games,Barenpark,4680,2017,7.36,
CMON,Blood Rage,4690,2015,8.01,
Hans im Gluck,Stone Age,5011,2008,7.59,
AEG,Space Base,5370,2018,7.52,
CMON,Gizmos,5376,2018,7.50,
Kosmos,Catan,6108,1995,7.17,
Stonemaier Games,Tapestry,6874,2019,7.52,
Stonemaier Games,Viticulutre,6896,2015,8.11,
AEG,Love Letter,6944,2012,7.24,
AEG,Tiny Towns,6949,2019,7.43,
Lookout Games,Patchwork,8657,2014,7.68,
Hans im Gluck,Carcassonne,9713,2000,7.42,
Blue Orange,Kingdomino,10175,2016,7.36,
Stonemaier Games,Scythe,11652,2016,8.26,
Stonemaier Games,Wingspan,19623,2019,8.11,